cbsa_code,cbsa_name,finance,information,logistics,manufacturing,professional_services,demand_index,primary_city,state,cbsa_name_u,is_candidate
42220,"Santa Rosa-Petaluma, CA",6319,2765,5231,21677,9442,12760.4,Santa Rosa,CA,"SANTA ROSA-PETALUMA, CA",False
42300,"Sault Ste. Marie, MI",275,73,245,585,294,393.8,Sault Ste. Marie,MI,"SAULT STE. MARIE, MI",False
42340,"Savannah, GA",3230,1521,20153,19860,6442,15601.3,Savannah,GA,"SAVANNAH, GA",False
42380,"Sayre, PA",460,195,1326,3003,418,1728.6,Sayre,PA,"SAYRE, PA",False
42420,"Scottsbluff, NE",526,250,476,1121,365,716.8000000000001,Scottsbluff,NE,"SCOTTSBLUFF, NE",False
42460,"Scottsboro, AL",248,44,282,5558,224,2377.4000000000005,Scottsboro,AL,"SCOTTSBORO, AL",False
42500,"Scottsburg, IN",107,20,87,2544,99,1074.2,Scottsburg,IN,"SCOTTSBURG, IN",False
42540,"Scranton--Wilkes-Barre, PA",8653,3168,22988,31390,8895,22096.7,Scranton,PA,"SCRANTON--WILKES-BARRE, PA",False
42580,"Seaford, DE",2326,548,2299,10319,3175,5684.900000000001,Seaford,DE,"SEAFORD, DE",False
42620,"Searcy, AR",620,153,2139,2359,490,1745.3,Searcy,AR,"SEARCY, AR",False
42660,"Seattle-Tacoma-Bellevue, WA",68442,164888,79366,153703,168775,125890.2,Seattle,WA,"SEATTLE-TACOMA-BELLEVUE, WA",False
42680,"Sebastian-Vero Beach, FL",1640,487,937,2250,3046,1954.3,Sebastian,FL,"SEBASTIAN-VERO BEACH, FL",False
42700,"Sebring, FL",566,232,236,875,725,622.4,Sebring,FL,"SEBRING, FL",False
42740,"Sedalia, MO",296,125,674,4480,892,2202.2,Sedalia,MO,"SEDALIA, MO",False
42780,"Selinsgrove, PA",234,122,471,3429,206,1577.5000000000002,Selinsgrove,PA,"SELINSGROVE, PA",False
42820,"Selma, AL",245,89,122,3094,196,1337.9,Selma,AL,"SELMA, AL",False
42860,"Seneca, SC",559,237,71,5363,502,2322.8000000000006,Seneca,SC,"SENECA, SC",False
42900,"Seneca Falls, NY",156,58,661,1759,121,941.7,Seneca Falls,NY,"SENECA FALLS, NY",False
42940,"Sevierville, TN",808,310,426,2715,789,1452.3999999999999,Sevierville,TN,"SEVIERVILLE, TN",False
42980,"Seymour, IN",405,76,2056,9352,298,4457.700000000001,Seymour,IN,"SEYMOUR, IN",False
43060,"Shawnee, OK",701,337,227,2265,584,1161.0,Shawnee,OK,"SHAWNEE, OK",False
43100,"Sheboygan, WI",2428,230,1715,18557,1059,8391.9,Sheboygan,WI,"SHEBOYGAN, WI",False
43140,"Shelby, NC",447,146,2375,6557,1179,3615.8,Shelby,NC,"SHELBY, NC",False
43180,"Shelbyville, TN",574,183,2283,3800,226,2307.5,Shelbyville,TN,"SHELBYVILLE, TN",False
43220,"Shelton, WA",276,109,163,801,242,445.30000000000007,Shelton,WA,"SHELTON, WA",False
43260,"Sheridan, WY",500,222,578,665,1639,817.2,Sheridan,WY,"SHERIDAN, WY",False
43300,"Sherman-Denison, TX",1060,676,1257,7647,1182,3778.3,Sherman,TX,"SHERMAN-DENISON, TX",False
43320,"Show Low, AZ",310,364,563,598,416,522.3,Show Low,AZ,"SHOW LOW, AZ",False
43340,"Shreveport-Bossier City, LA",3804,1620,4457,7749,7071,6231.3,Shreveport,LA,"SHREVEPORT-BOSSIER CITY, LA",False
43380,"Sidney, OH",300,110,999,12734,668,5556.900000000001,Sidney,OH,"SIDNEY, OH",False
43420,"Sierra Vista-Douglas, AZ",440,311,784,553,2451,990.6,Sierra Vista,AZ,"SIERRA VISTA-DOUGLAS, AZ",False
43460,"Sikeston, MO",368,262,1226,3300,409,1806.3999999999999,Sikeston,MO,"SIKESTON, MO",False
43500,"Silver City, NM",185,76,76,112,174,120.9,Silver City,NM,"SILVER CITY, NM",False
43540,"Silverthorne, CO",224,137,320,501,675,453.79999999999995,Silverthorne,CO,"SILVERTHORNE, CO",False
43580,"Sioux City, IA-NE-SD",2664,728,3668,15650,1464,7919.599999999999,Sioux City,IA-NE-SD,"SIOUX CITY, IA-NE-SD",False
43620,"Sioux Falls, SD",13427,2895,4866,14372,5842,9719.7,Sioux Falls,SD,"SIOUX FALLS, SD",False
43660,"Snyder, TX",111,33,442,87,101,198.70000000000002,Snyder,TX,"SNYDER, TX",False
43700,"Somerset, KY",634,227,365,4185,509,1948.7,Somerset,KY,"SOMERSET, KY",False
43740,"Somerset, PA",530,104,1237,2889,1068,1793.3000000000002,Somerset,PA,"SOMERSET, PA",False
43780,"South Bend-Mishawaka, IN-MI",4156,3397,4565,16563,5391,9488.500000000002,South Bend,IN-MI,"SOUTH BEND-MISHAWAKA, IN-MI",False
43860,"Southern Pines-Pinehurst, NC",894,266,564,1651,1758,1270.6000000000004,Southern Pines,NC,"SOUTHERN PINES-PINEHURST, NC",False
43900,"Spartanburg, SC",3143,1641,10973,37646,4397,19544.000000000004,Spartanburg,SC,"SPARTANBURG, SC",False
43940,"Spearfish, SD",323,143,245,381,383,334.8,Spearfish,SD,"SPEARFISH, SD",False
43980,"Spencer, IA",289,140,390,639,165,434.5,Spencer,IA,"SPENCER, IA",False
44020,"Spirit Lake, IA",207,75,301,1732,176,839.0000000000001,Spirit Lake,IA,"SPIRIT LAKE, IA",False
44060,"Spokane, WA",10387,4695,7361,16490,10203,11883.6,Spokane,WA,"SPOKANE, WA",False
44100,"Springfield, IL",5327,1606,2037,2491,4411,3022.3999999999996,Springfield,IL,"SPRINGFIELD, IL",False
44140,"Springfield, MA",10968,2671,9014,24375,9026,15356.2,Springfield,MA,"SPRINGFIELD, MA",False
44180,"Springfield, MO",7375,4681,11790,18118,9421,13405.900000000001,Springfield,MO,"SPRINGFIELD, MO",False
44220,"Springfield, OH",2487,159,2566,7123,925,4052.7,Springfield,OH,"SPRINGFIELD, OH",False
44260,"Starkville, MS",337,136,52,686,535,430.70000000000005,Starkville,MS,"STARKVILLE, MS",False
44300,"State College, PA",1079,1018,1712,4241,3334,2984.7000000000003,State College,PA,"STATE COLLEGE, PA",False
