rank_flo,rank_baseline,cbsa_code,cbsa_name,primary_city,state,is_candidate,demand_index,score_baseline,score_flo,score_flo_recalc,score_flo_error,demand_norm,w_demand,contrib_demand,enterprise_fit_norm,w_enterprise_fit,contrib_enterprise_fit,cloud_adjacency_norm,w_cloud_adjacency,contrib_cloud_adjacency,resilience_norm,w_resilience,contrib_resilience,capex_friction_norm,w_capex_friction,contrib_capex_friction
458,405,29940,"Lawrence, KS",Lawrence,KS,False,2572.9,0.005857152012378141,0.06801465790878744,0.06801465790878744,0.0,0.005857152012378141,0.3,0.0017571456037134422,0.008085862835680333,0.2,0.0016171725671360667,0.0011496003701713191,0.2,0.00022992007403426385,0.8342975997604218,0.15,0.12514463996406328,0.40489480200106404,-0.15,-0.060734220300159604
459,147,25180,"Hagerstown-Martinsburg, MD-WV",Hagerstown,MD-WV,False,9395.500000000002,0.02152874906310606,0.06799197947652443,0.06799197947652443,0.0,0.02152874906310606,0.3,0.006458624718931817,0.033399461685492814,0.2,0.006679892337098563,0.007906376545853248,0.2,0.0015812753091706496,0.9022100792936062,0.15,0.1353315118940409,0.5470621652181167,-0.15,-0.0820593247827175
460,185,37860,"Pensacola-Ferry Pass-Brent, FL",Pensacola,FL,False,6707.700000000001,0.015354839035704993,0.06794321173878065,0.06794321173878065,0.0,0.015354839035704993,0.3,0.004606451710711498,0.014883894588434598,0.2,0.0029767789176869197,0.005161705662069223,0.2,0.0010323411324138446,0.9376841845898602,0.15,0.14065262768847903,0.5421665847367376,-0.15,-0.08132498771051064
461,73,16860,"Chattanooga, TN-GA",Chattanooga,TN-GA,False,22029.2,0.050548515084825225,0.06779395763344455,0.06779395763344455,0.0,0.050548515084825225,0.3,0.015164554525447568,0.07602772932699542,0.2,0.015205545865399085,0.010205577286195887,0.2,0.0020411154572391775,0.8703756231618182,0.15,0.13055634347427272,0.6344906779260935,-0.15,-0.09517360168891402
462,90,30460,"Lexington-Fayette, KY",Lexington,KY,False,18286.5,0.041951486637934104,0.06778021944940862,0.06778021944940862,0.0,0.041951486637934104,0.3,0.01258544599138023,0.05844557506589615,0.2,0.01168911501317923,0.009311762998387686,0.2,0.0018623525996775373,0.8923694011839824,0.15,0.13385541017759736,0.6147473622161717,-0.15,-0.09221210433242574
463,170,46700,"Vallejo-Fairfield, CA",Vallejo,CA,False,7594.1,0.017390910859608668,0.06767611570690936,0.06767611570690936,0.0,0.017390910859608668,0.3,0.0052172732578826,0.025903181405301783,0.2,0.005180636281060357,0.0028682529235774415,0.2,0.0005736505847154884,0.8958271357650134,0.15,0.134374070364752,0.5177967652100072,-0.15,-0.07766951478150107
464,548,15420,"Burley, ID",Burley,ID,False,1681.9,0.0038105139312655783,0.06757988057083902,0.06757988057083902,0.0,0.0038105139312655783,0.3,0.0011431541793796734,0.006294824713428329,0.2,0.0012589649426856659,0.0007098782285807897,0.2,0.00014197564571615795,0.7796021135557933,0.15,0.11694031703336899,0.3460302082020765,-0.15,-0.05190453123031147
465,144,43620,"Sioux Falls, SD",Sioux Falls,SD,False,9719.7,0.022273440495088875,0.0675295693067194,0.0675295693067194,0.0,0.022273440495088875,0.3,0.006682032148526662,0.02941894354384811,0.2,0.005883788708769622,0.008320232679114923,0.2,0.0016640465358229847,0.9223442303872953,0.15,0.1383516345580943,0.5670128842966278,-0.15,-0.08505193264449416
466,186,11100,"Amarillo, TX",Amarillo,TX,False,6656.4000000000015,0.015237002297701545,0.0674981593609548,0.0674981593609548,0.0,0.015237002297701545,0.3,0.0045711006893104636,0.022439244576453476,0.2,0.004487848915290696,0.004216159357603313,0.2,0.0008432318715206627,0.894635414104791,0.15,0.13419531211571864,0.5106622282059045,-0.15,-0.07659933423088566
467,552,35260,"New Castle, PA",New Castle,PA,False,1651.5,0.0037406847531894593,0.0673808224787095,0.0673808224787095,0.0,0.0037406847531894593,0.3,0.0011222054259568378,0.005776014355053525,0.2,0.001155202871010705,0.0005086981638008088,0.2,0.00010173963276016175,0.7830434700751375,0.15,0.11745652051127062,0.3496989730819256,-0.15,-0.05245484596228884
468,762,10980,"Alpena, MI",Alpena,MI,False,807.0,0.001800857750384118,0.0672797222450833,0.0672797222450833,0.0,0.001800857750384118,0.3,0.0005402573251152353,0.002930080412819241,0.2,0.0005860160825638482,0.00036787211845482217,0.2,7.357442369096444e-05,0.7107020663811744,0.15,0.10660530995717615,0.27016957028975264,-0.15,-0.04052543554346289
469,102,44140,"Springfield, MA",Springfield,MA,False,15356.2,0.03522055109462979,0.06717257942751996,0.06717257942751996,0.0,0.03522055109462979,0.3,0.010566165328388938,0.05076484126409174,0.2,0.010152968252818348,0.007676456471818984,0.2,0.0015352912943637968,0.8990376985055997,0.15,0.13485565477583994,0.5995833348259404,-0.15,-0.08993750022389106
470,434,40700,"Roseburg, OR",Roseburg,OR,False,2321.6,0.005279912787031803,0.06712486944273852,0.06712486944273852,0.0,0.005279912787031803,0.3,0.0015839738361095408,0.008304309302364461,0.2,0.0016608618604728922,0.000994404320198191,0.2,0.00019888086403963822,0.8099956135300634,0.15,0.12149934202950952,0.38545459431595386,-0.15,-0.057818189147393076
471,547,35580,"New Ulm, MN",New Ulm,MN,False,1684.4,0.0038162564623573647,0.06706246119099843,0.06706246119099843,0.0,0.0038162564623573647,0.3,0.0011448769387072094,0.006288694838087702,0.2,0.0012577389676175403,0.0004109821323362466,0.2,8.219642646724933e-05,0.7758560209988573,0.15,0.11637840314982859,0.3453383619441477,-0.15,-0.051800754291622154
472,149,22660,"Fort Collins-Loveland, CO",Fort Collins,CO,False,9004.800000000001,0.020631306304081727,0.06698103971683111,0.06698103971683111,0.0,0.020631306304081727,0.3,0.006189391891224518,0.02677139465809227,0.2,0.005354278931618454,0.008590388766105182,0.2,0.0017180777532210365,0.9054124842296232,0.15,0.13581187263444347,0.5472838766245092,-0.15,-0.08209258149367638
473,201,41500,"Salinas, CA",Salinas,CA,False,6167.8,0.014114682021122869,0.06696379081926448,0.06696379081926448,0.0,0.014114682021122869,0.3,0.004234404606336861,0.01750079409748731,0.2,0.0035001588194974623,0.0038540352409993477,0.2,0.0007708070481998695,0.8951181414982923,0.15,0.13426772122474384,0.5053953391967569,-0.15,-0.07580930087951354
474,630,37300,"Palestine, TX",Palestine,TX,False,1330.1,0.0030024249560294393,0.06695563956527303,0.06695563956527303,0.0,0.0030024249560294393,0.3,0.0009007274868088318,0.004848174133040586,0.2,0.0009696348266081172,0.00022992007403426385,0.2,4.598401480685277e-05,0.7575722229039232,0.15,0.11363583343558847,0.3239769346569284,-0.15,-0.048596540198539255
475,746,24900,"Greenwood, MS",Greenwood,MS,False,894.9000000000002,0.0020027651435713173,0.06694166062300944,0.06694166062300944,0.0,0.0020027651435713173,0.3,0.0006008295430713951,0.0032989874560460067,0.2,0.0006597974912092014,0.0003908641258582485,0.2,7.81728251716497e-05,0.7162750019171176,0.15,0.10744125028756764,0.2789225968267363,-0.15,-0.04183838952401044
476,479,19060,"Cumberland, MD-WV",Cumberland,MD-WV,False,2058.9,0.004676487619906921,0.06684302464447932,0.06684302464447932,0.0,0.004676487619906921,0.3,0.0014029462859720763,0.007531387748050978,0.2,0.0015062775496101958,0.002632584847692321,0.2,0.0005265169695384643,0.8022614835662119,0.15,0.12033922253493178,0.379546257970488,-0.15,-0.0569319386955732
477,151,15980,"Cape Coral-Fort Myers, FL",Cape Coral,FL,False,8937.900000000001,0.020477636172065532,0.06672914258871254,0.06672914258871254,0.0,0.020477636172065532,0.3,0.006143290851619659,0.019719251709399328,0.2,0.003943850341879866,0.009817587161263066,0.2,0.001963517432252613,0.9302562675973968,0.15,0.1395384401396095,0.5657330411776607,-0.15,-0.0848599561766491
478,322,20020,"Dothan, AL",Dothan,AL,False,3507.8,0.008004628939462468,0.06653375421399584,0.06653375421399584,0.0,0.008004628939462468,0.3,0.0024013886818387404,0.012525564366477384,0.2,0.002505112873295477,0.0014887324793718584,0.2,0.0002977464958743717,0.8398188322957734,0.15,0.125972824844366,0.4309554578758583,-0.15,-0.06464331868137875
479,143,37900,"Peoria, IL",Peoria,IL,False,9806.4,0.022472591473352014,0.06628900885745091,0.06628900885745091,0.0,0.022472591473352014,0.3,0.006741777442005604,0.032737435148705196,0.2,0.00654748702974104,0.005704891836975172,0.2,0.0011409783673950343,0.8955369961351296,0.15,0.13433054942026942,0.5498118893464014,-0.15,-0.0824717834019602
480,764,26220,"Hood River, OR",Hood River,OR,False,802.4000000000001,0.0017902914931752318,0.06628267604798332,0.06628267604798332,0.0,0.0017902914931752318,0.3,0.0005370874479525696,0.002745069629811255,0.2,0.000549013925962251,0.00038224212308196365,0.2,7.644842461639273e-05,0.7033133321840715,0.15,0.10549699982761072,0.26917915718772406,-0.15,-0.040376873578158605
481,196,28420,"Kennewick-Pasco-Richland, WA",Kennewick,WA,False,6230.800000000001,0.01425939380463588,0.06610579783015817,0.06610579783015817,0.0,0.01425939380463588,0.3,0.004277818141390764,0.017209903649504872,0.2,0.0034419807299009746,0.0023854207681054873,0.2,0.00047708415362109747,0.8920152203479468,0.15,0.13380228305219202,0.5059557883129779,-0.15,-0.07589336824694669
