rank_border_flo,rank_flo,rank_baseline,cbsa_code,cbsa_name,primary_city,state,manufacturing,logistics,information,finance,professional_services,demand_index,demand_norm,enterprise_fit,cloud_adjacency,resilience,capex_friction,score_baseline,score_flo,is_candidate
37,106,839,20580,"Eagle Pass, TX",Eagle Pass,TX,529,791,130,352,254,534.9,0.00117584066635412,633.8,130,0.7372116723947373,7.6290038896529575,0.00117584066635412,0.10278941386491272,False
38,108,910,38780,"Portales, NM",Portales,NM,277,476,68,142,60,279.8,0.0005898727937482673,356.6,68,0.6830541724118491,6.931471805599453,0.0005898727937482673,0.1026300063408247,False
39,110,841,19620,"Del Rio, TX",Del Rio,TX,504,752,73,541,235,528.3000000000001,0.0011606803842718048,603.2,73,0.7353309900079552,7.652545692693921,0.0011606803842718048,0.10197201708857206,False
40,115,876,13700,"Big Spring, TX",Big Spring,TX,697,308,130,268,121,422.2,0.000916967364736403,541.4,130,0.7054830498549887,7.329749689041512,0.000916967364736403,0.10101714375041357,False
41,118,814,28500,"Kerrville, TX",Kerrville,TX,955,238,270,397,670,627.1,0.001387625213019191,668.2,270,0.7425240200596792,7.836369760545124,0.001387625213019191,0.10069184982266133,False
42,132,836,37420,"Pampa, TX",Pampa,TX,821,318,133,154,534,546.0,0.0012013375044016502,619.8,133,0.7132116826322366,7.581209826196346,0.0012013375044016502,0.0986687200696993,False
43,138,683,22140,"Farmington, NM",Farmington,NM,1176,1173,231,795,1026,1107.0,0.002489961481398449,1174.8000000000002,231,0.7678241931444285,8.389814262086407,0.002489961481398449,0.09751614161315394,False
44,150,40,40900,"Sacramento--Arden-Arcade--Roseville, CA",Sacramento,CA,35357,40804,16086,40017,64953,43376.3,0.09958306927261197,37535.8,16086,0.7687568850999706,12.192064994875565,0.09958306927261197,0.09489878270017679,False
45,151,856,38020,"Phoenix Lake-Cedar Ridge, CA",Phoenix Lake,CA,820,92,164,218,467,470.8,0.0010286021691607245,528.8,164,0.6861222119356194,7.474204806496124,0.0010286021691607245,0.09478666008711248,False
46,153,567,22380,"Flagstaff, AZ",Flagstaff,AZ,1675,1313,1640,1176,2018,1585.1,0.003588163127391621,1530.2,1640,0.7928451970953564,8.96482339168508,0.003588163127391621,0.09468260005498283,False
47,156,929,43660,"Snyder, TX",Snyder,TX,87,442,33,111,101,198.7,0.0004035850851307264,229.0,33,0.6218443068992915,6.652863029353347,0.0004035850851307264,0.09449644367707825,False
48,160,909,28780,"Kingsville, TX",Kingsville,TX,92,627,54,254,164,283.1,0.000597452934789425,306.0,54,0.6503858705192385,7.083387847625295,0.000597452934789425,0.09348620105362584,False
49,174,690,16100,"Carlsbad-Artesia, NM",Carlsbad,NM,1088,1590,237,555,576,1082.9,0.002434603481673631,1288.8,237,0.7307402097822642,8.305731144875866,0.002434603481673631,0.09136193644853749,False
50,198,563,21700,"Eureka-Arcata-Fortuna, CA",Eureka,CA,2203,801,455,1132,1781,1590.9,0.003601485799524565,1642.2,455,0.7498861150616181,8.759825595314295,0.003601485799524565,0.08861527937505473,False
51,200,692,46020,"Truckee-Grass Valley, CA",Truckee,CA,1314,532,302,519,1718,1080.7000000000005,0.00242955005431286,1001.2,302,0.723234515926457,8.386172928977834,0.00242955005431286,0.0884101788444694,False
52,205,482,39820,"Redding, CA",Redding,CA,2061,1561,643,2027,2667,2028.8,0.004607347545561816,1861.0,643,0.7717584245855856,9.100525505968976,0.004607347545561816,0.08811239718642452,False
53,212,763,31920,"Marble Falls, TX",Marble Falls,TX,1343,234,128,431,762,802.9000000000001,0.001791439999393589,899.4,128,0.685512390211283,7.972121128921655,0.001791439999393589,0.08704808836119271,False
